from,to,line,direction,time
256,257,2号线,往浦东1号2号航站楼,4
257,256,2号线,往国家会展中心,4
257,258,2号线,往浦东1号2号航站楼,4
258,257,2号线,往国家会展中心,4
258,259,2号线,往浦东1号2号航站楼,5
259,258,2号线,往国家会展中心,5
259,260,2号线,往浦东1号2号航站楼,4
260,259,2号线,往国家会展中心,4
260,261,2号线,往浦东1号2号航站楼,3
261,260,2号线,往国家会展中心,5
261,262,2号线,往浦东1号2号航站楼,9
262,261,2号线,往国家会展中心,8
262,263,2号线,往浦东1号2号航站楼,3
263,262,2号线,往国家会展中心,4
311,312,3号线,往江杨北路,3
312,311,3号线,往上海南站,3
312,313,3号线,往江杨北路,3
313,312,3号线,往上海南站,3
313,314,3号线,往江杨北路,3
314,313,3号线,往上海南站,3
314,315,3号线,往江杨北路,3
315,314,3号线,往上海南站,3
315,316,3号线,往江杨北路,3
316,315,3号线,往上海南站,51
316,317,3号线,往江杨北路,3
317,316,3号线,往上海南站,3
317,318,3号线,往江杨北路,3
318,317,3号线,往上海南站,2
318,319,3号线,往江杨北路,3
319,318,3号线,往上海南站,3
319,320,3号线,往江杨北路,2
320,319,3号线,往上海南站,2
320,321,3号线,往江杨北路,3
321,320,3号线,往上海南站,3
321,322,3号线,往江杨北路,3
322,321,3号线,往上海南站,3
322,323,3号线,往江杨北路,3
323,322,3号线,往上海南站,3
323,324,3号线,往江杨北路,8
324,323,3号线,往上海南站,4
324,325,3号线,往江杨北路,3
325,324,3号线,往上海南站,3
325,326,3号线,往江杨北路,3
326,325,3号线,往上海南站,3
326,327,3号线,往江杨北路,3
327,326,3号线,往上海南站,3
327,328,3号线,往江杨北路,2
328,327,3号线,往上海南站,2
328,329,3号线,往江杨北路,3
329,328,3号线,往上海南站,3
329,330,3号线,往江杨北路,3
330,329,3号线,往上海南站,3
330,331,3号线,往江杨北路,3
331,330,3号线,往上海南站,3
331,332,3号线,往江杨北路,3
332,331,3号线,往上海南站,3
332,333,3号线,往江杨北路,3
333,332,3号线,往上海南站,3
333,334,3号线,往江杨北路,3
334,333,3号线,往上海南站,3
334,335,3号线,往江杨北路,3
335,334,3号线,往上海南站,3
335,336,3号线,往江杨北路,3
336,335,3号线,往上海南站,3
336,337,3号线,往江杨北路,2
337,336,3号线,往上海南站,2
337,338,3号线,往江杨北路,3
338,337,3号线,往上海南站,3
338,339,3号线,往江杨北路,3
339,338,3号线,往上海南站,3
401,402,4号线,内圈,3
402,401,4号线,外圈,3
402,403,4号线,内圈,3
403,402,4号线,外圈,3
403,404,4号线,内圈,3
404,403,4号线,外圈,3
404,405,4号线,内圈,3
405,404,4号线,外圈,2
405,406,4号线,内圈,3
406,405,4号线,外圈,3
406,407,4号线,内圈,2
407,406,4号线,外圈,2
407,408,4号线,内圈,3
408,407,4号线,外圈,3
408,409,4号线,内圈,3
409,408,4号线,外圈,3
409,410,4号线,内圈,3
410,409,4号线,外圈,3
410,411,4号线,内圈,4
411,410,4号线,外圈,4
411,412,4号线,内圈,3
412,411,4号线,外圈,3
412,413,4号线,内圈,2
413,412,4号线,外圈,2
413,414,4号线,内圈,3
414,413,4号线,外圈,3
414,415,4号线,内圈,2
415,414,4号线,外圈,2
415,416,4号线,内圈,3
416,415,4号线,外圈,3
416,417,4号线,内圈,3
417,416,4号线,外圈,3
417,418,4号线,内圈,2
418,417,4号线,外圈,3
418,419,4号线,内圈,3
419,418,4号线,外圈,3
419,420,4号线,内圈,3
420,419,4号线,外圈,3
420,421,4号线,内圈,3
421,420,4号线,外圈,3
421,422,4号线,内圈,3
422,421,4号线,外圈,3
422,423,4号线,内圈,3
423,422,4号线,外圈,3
423,424,4号线,内圈,3
424,423,4号线,外圈,3
424,425,4号线,内圈,2
425,424,4号线,外圈,2
425,426,4号线,内圈,3
426,425,4号线,外圈,3
501,502,5号线,往奉贤新城,3
502,501,5号线,往莘庄,3
502,503,5号线,往奉贤新城,2
503,502,5号线,往莘庄,2
503,505,5号线,往奉贤新城,4
505,503,5号线,往莘庄,4
505,507,5号线,往奉贤新城,4
507,505,5号线,往莘庄,4
507,508,5号线,往奉贤新城,3
508,507,5号线,往莘庄,3
508,509,5号线,往奉贤新城,2
509,508,5号线,往莘庄,2
509,510,5号线,往奉贤新城,3
510,509,5号线,往莘庄,3
510,511,5号线,往奉贤新城,3
511,510,5号线,往莘庄,3
511,512,5号线,往奉贤新城,3
512,511,5号线,往莘庄,3
512,513,5号线,往奉贤新城,3
513,512,5号线,往莘庄,3
513,531,5号线,往奉贤新城,3
531,513,5号线,往莘庄,3
531,532,5号线,往奉贤新城,3
532,531,5号线,往莘庄,3
532,533,5号线,往奉贤新城,3
533,532,5号线,往莘庄,3
533,534,5号线,往奉贤新城,3
534,533,5号线,往莘庄,3
534,535,5号线,往奉贤新城,3
535,534,5号线,往莘庄,3
535,536,5号线,往奉贤新城,3
536,535,5号线,往莘庄,3
536,537,5号线,往奉贤新城,3
537,536,5号线,往莘庄,3
537,538,5号线,往奉贤新城,3
538,537,5号线,往莘庄,3
621,622,6号线,往港城路,3
622,621,6号线,往东方体育中心,3
622,623,6号线,往港城路,3
623,622,6号线,往东方体育中心,3
623,624,6号线,往港城路,2
624,623,6号线,往东方体育中心,2
624,625,6号线,往港城路,3
625,624,6号线,往东方体育中心,3
625,626,6号线,往港城路,3
626,625,6号线,往东方体育中心,3
626,627,6号线,往港城路,3
627,626,6号线,往东方体育中心,3
627,628,6号线,往港城路,3
628,627,6号线,往东方体育中心,3
628,629,6号线,往港城路,3
629,628,6号线,往东方体育中心,3
629,630,6号线,往港城路,3
630,629,6号线,往东方体育中心,3
630,631,6号线,往港城路,3
631,630,6号线,往东方体育中心,3
631,632,6号线,往港城路,3
632,631,6号线,往东方体育中心,3
632,633,6号线,往港城路,3
633,632,6号线,往东方体育中心,3
633,634,6号线,往港城路,3
634,633,6号线,往东方体育中心,3
634,635,6号线,往港城路,3
635,634,6号线,往东方体育中心,3
635,636,6号线,往港城路,3
636,635,6号线,往东方体育中心,3
636,637,6号线,往港城路,3
637,636,6号线,往东方体育中心,3
637,638,6号线,往港城路,3
638,637,6号线,往东方体育中心,3
638,639,6号线,往港城路,3
639,638,6号线,往东方体育中心,3
639,640,6号线,往港城路,3
640,639,6号线,往东方体育中心,3
640,641,6号线,往港城路,3
641,640,6号线,往东方体育中心,3
641,642,6号线,往港城路,3
642,641,6号线,往东方体育中心,3
642,643,6号线,往港城路,3
643,642,6号线,往东方体育中心,3
643,644,6号线,往港城路,3
644,643,6号线,往东方体育中心,3
644,645,6号线,往港城路,4
645,644,6号线,往东方体育中心,4
645,646,6号线,往港城路,3
646,645,6号线,往东方体育中心,3
646,647,6号线,往港城路,3
647,646,6号线,往东方体育中心,3
647,648,6号线,往港城路,3
648,647,6号线,往东方体育中心,3
721,722,7号线,往花木路,3
722,721,7号线,往美兰湖,3
722,723,7号线,往花木路,4
723,722,7号线,往美兰湖,4
723,724,7号线,往花木路,2
724,723,7号线,往美兰湖,3
724,725,7号线,往花木路,3
725,724,7号线,往美兰湖,4
725,726,7号线,往花木路,3
726,725,7号线,往美兰湖,4
726,727,7号线,往花木路,3
727,726,7号线,往美兰湖,3
727,728,7号线,往花木路,2
728,727,7号线,往美兰湖,3
728,729,7号线,往花木路,3
729,728,7号线,往美兰湖,3
729,730,7号线,往花木路,3
730,729,7号线,往美兰湖,3
730,731,7号线,往花木路,3
731,730,7号线,往美兰湖,3
731,732,7号线,往花木路,2
732,731,7号线,往美兰湖,2
732,733,7号线,往花木路,3
733,732,7号线,往美兰湖,3
733,734,7号线,往花木路,3
734,733,7号线,往美兰湖,3
734,735,7号线,往花木路,2
735,734,7号线,往美兰湖,2
735,736,7号线,往花木路,4
736,735,7号线,往美兰湖,4
736,737,7号线,往花木路,3
737,736,7号线,往美兰湖,3
737,738,7号线,往花木路,3
738,737,7号线,往美兰湖,2
738,739,7号线,往花木路,3
739,738,7号线,往美兰湖,3
739,740,7号线,往花木路,3
740,739,7号线,往美兰湖,3
740,741,7号线,往花木路,3
741,740,7号线,往美兰湖,4
741,742,7号线,往花木路,2
742,741,7号线,往美兰湖,3
742,743,7号线,往花木路,2
743,742,7号线,往美兰湖,2
743,744,7号线,往花木路,4
744,743,7号线,往美兰湖,4
744,745,7号线,往花木路,3
745,744,7号线,往美兰湖,3
745,746,7号线,往花木路,2
746,745,7号线,往美兰湖,2
746,747,7号线,往花木路,2
747,746,7号线,往美兰湖,2
747,748,7号线,往花木路,3
748,747,7号线,往美兰湖,3
748,749,7号线,往花木路,3
749,748,7号线,往美兰湖,3
749,750,7号线,往花木路,3
750,749,7号线,往美兰湖,3
750,751,7号线,往花木路,3
751,750,7号线,往美兰湖,3
751,752,7号线,往花木路,3
752,751,7号线,往美兰湖,3
752,753,7号线,往花木路,3
753,752,7号线,往美兰湖,3
820,821,8号线,往市光路,3
821,820,8号线,往沈杜公路,3
821,822,8号线,往市光路,3
822,821,8号线,往沈杜公路,3
822,823,8号线,往市光路,3
823,822,8号线,往沈杜公路,3
823,824,8号线,往市光路,4
824,823,8号线,往沈杜公路,4
824,825,8号线,往市光路,4
825,824,8号线,往沈杜公路,4
825,826,8号线,往市光路,4
826,825,8号线,往沈杜公路,4
826,827,8号线,往市光路,3
827,826,8号线,往沈杜公路,3
827,828,8号线,往市光路,3
828,827,8号线,往沈杜公路,3
828,829,8号线,往市光路,2
829,828,8号线,往沈杜公路,2
829,830,8号线,往市光路,2
830,829,8号线,往沈杜公路,2
830,831,8号线,往市光路,3
831,830,8号线,往沈杜公路,3
831,832,8号线,往市光路,3
832,831,8号线,往沈杜公路,3
832,833,8号线,往市光路,2
833,832,8号线,往沈杜公路,2
833,834,8号线,往市光路,3
834,833,8号线,往沈杜公路,3
834,835,8号线,往市光路,3
835,834,8号线,往沈杜公路,2
835,836,8号线,往市光路,3
836,835,8号线,往沈杜公路,3
836,837,8号线,往市光路,3
837,836,8号线,往沈杜公路,3
837,838,8号线,往市光路,3
838,837,8号线,往沈杜公路,3
838,839,8号线,往市光路,3
839,838,8号线,往沈杜公路,3
839,840,8号线,往市光路,3
840,839,8号线,往沈杜公路,3
840,841,8号线,往市光路,3
841,840,8号线,往沈杜公路,3
841,842,8号线,往市光路,2
842,841,8号线,往沈杜公路,2
842,843,8号线,往市光路,2
843,842,8号线,往沈杜公路,2
843,844,8号线,往市光路,3
844,843,8号线,往沈杜公路,3
844,845,8号线,往市光路,3
845,844,8号线,往沈杜公路,3
845,846,8号线,往市光路,3
846,845,8号线,往沈杜公路,3
846,847,8号线,往市光路,3
847,846,8号线,往沈杜公路,3
847,848,8号线,往市光路,3
848,847,8号线,往沈杜公路,3
848,849,8号线,往市光路,3
849,848,8号线,往沈杜公路,2
918,919,9号线,往曹路,4
919,918,9号线,往上海松江站,3
919,920,9号线,往曹路,4
920,919,9号线,往上海松江站,4
920,921,9号线,往曹路,3
921,920,9号线,往上海松江站,3
921,922,9号线,往曹路,4
922,921,9号线,往上海松江站,5
922,923,9号线,往曹路,5
923,922,9号线,往上海松江站,5
923,924,9号线,往曹路,4
924,923,9号线,往上海松江站,4
924,925,9号线,往曹路,5
925,924,9号线,往上海松江站,5
925,926,9号线,往曹路,7
926,925,9号线,往上海松江站,7
926,927,9号线,往曹路,3
927,926,9号线,往上海松江站,4
927,928,9号线,往曹路,3
928,927,9号线,往上海松江站,3
928,929,9号线,往曹路,3
929,928,9号线,往上海松江站,4
929,930,9号线,往曹路,3
930,929,9号线,往上海松江站,3
930,931,9号线,往曹路,3
931,930,9号线,往上海松江站,3
931,932,9号线,往曹路,4
932,931,9号线,往上海松江站,4
932,933,9号线,往曹路,4
933,932,9号线,往上海松江站,3
933,934,9号线,往曹路,4
934,933,9号线,往上海松江站,3
934,935,9号线,往曹路,3
935,934,9号线,往上海松江站,3
935,936,9号线,往曹路,3
936,935,9号线,往上海松江站,3
936,937,9号线,往曹路,3
937,936,9号线,往上海松江站,3
937,938,9号线,往曹路,3
938,937,9号线,往上海松江站,3
938,939,9号线,往曹路,3
939,938,9号线,往上海松江站,3
939,940,9号线,往曹路,3
940,939,9号线,往上海松江站,3
940,941,9号线,往曹路,4
941,940,9号线,往上海松江站,4
941,942,9号线,往曹路,3
942,941,9号线,往上海松江站,3
942,943,9号线,往曹路,3
943,942,9号线,往上海松江站,4
943,944,9号线,往曹路,3
944,943,9号线,往上海松江站,3
944,945,9号线,往曹路,3
945,944,9号线,往上海松江站,3
945,946,9号线,往曹路,3
946,945,9号线,往上海松江站,3
946,947,9号线,往曹路,3
947,946,9号线,往上海松江站,3
947,948,9号线,往曹路,3
948,947,9号线,往上海松江站,3
948,949,9号线,往曹路,3
949,948,9号线,往上海松江站,3
949,950,9号线,往曹路,3
950,949,9号线,往上海松江站,3
950,951,9号线,往曹路,3
951,950,9号线,往上海松江站,3
951,952,9号线,往曹路,3
952,951,9号线,往上海松江站,3
1018,1019,10号线,往新江湾城,4
1019,1018,10号线,往航中路,3
1019,1020,10号线,往新江湾城,3
1020,1019,10号线,往航中路,2
1020,1041,10号线,往新江湾城,3
1041,1020,10号线,往航中路,3
1041,1042,10号线,往新江湾城,3
1042,1041,10号线,往航中路,3
1042,1043,10号线,往新江湾城,3
1043,1042,10号线,往航中路,3
1043,1044,10号线,往新江湾城,3
1044,1043,10号线,往航中路,3
1044,1045,10号线,往新江湾城,3
1045,1044,10号线,往航中路,3
1045,1046,10号线,往新江湾城,3
1046,1045,10号线,往航中路,3
1046,1047,10号线,往新江湾城,3
1047,1046,10号线,往航中路,3
1047,1048,10号线,往新江湾城,3
1048,1047,10号线,往航中路,3
1048,1049,10号线,往新江湾城,3
1049,1048,10号线,往航中路,3
1049,1050,10号线,往新江湾城,3
1050,1049,10号线,往航中路,3
1050,1051,10号线,往新江湾城,3
1051,1050,10号线,往航中路,3
1051,1052,10号线,往新江湾城,3
1052,1051,10号线,往航中路,3
1052,1053,10号线,往新江湾城,3
1053,1052,10号线,往航中路,3
1053,1054,10号线,往新江湾城,3
1054,1053,10号线,往航中路,3
1054,1055,10号线,往新江湾城,3
1055,1054,10号线,往航中路,3
1055,1056,10号线,往新江湾城,3
1056,1055,10号线,往航中路,3
1056,1057,10号线,往新江湾城,3
1057,1056,10号线,往航中路,3
1057,1058,10号线,往新江湾城,3
1058,1057,10号线,往航中路,3
1058,1059,10号线,往新江湾城,3
1059,1058,10号线,往航中路,3
1059,1060,10号线,往新江湾城,3
1060,1059,10号线,往航中路,3
1060,1061,10号线,往新江湾城,3
1061,1060,10号线,往航中路,2
1061,1062,10号线,往新江湾城,3
1062,1061,10号线,往航中路,3
1062,1063,10号线,往新江湾城,2
1063,1062,10号线,往航中路,3
1063,1064,10号线,往新江湾城,3
1064,1063,10号线,往航中路,3
1064,1065,10号线,往新江湾城,2
1065,1064,10号线,往航中路,2
1065,1066,10号线,往新江湾城,3
1066,1065,10号线,往航中路,3
1066,1067,10号线,往新江湾城,2
1067,1066,10号线,往航中路,2
1067,1068,10号线,往新江湾城,3
1068,1067,10号线,往航中路,2
1068,1069,10号线,往新江湾城,3
1069,1068,10号线,往航中路,3
1069,1070,10号线,往新江湾城,3
1070,1069,10号线,往航中路,3
1070,1071,10号线,往新江湾城,3
1071,1070,10号线,往航中路,3
1071,1072,10号线,往新江湾城,3
1072,1071,10号线,往航中路,3
1072,1073,10号线,往新江湾城,3
1073,1072,10号线,往航中路,3
1073,1074,10号线,往新江湾城,3
1074,1073,10号线,往航中路,3
1114,1115,11号线,往迪士尼,3
1115,1114,11号线,往花桥,3
1115,1116,11号线,往迪士尼,4
1116,1115,11号线,往花桥,3
1116,1117,11号线,往迪士尼,3
1117,1116,11号线,往花桥,3
1117,1118,11号线,往迪士尼,3
1118,1117,11号线,往花桥,3
1118,1119,11号线,往迪士尼,3
1119,1118,11号线,往花桥,4
1119,1120,11号线,往迪士尼,6
1120,1119,11号线,往花桥,2
1120,1131,11号线,往迪士尼,3
1131,1120,11号线,往花桥,3
1131,1132,11号线,往迪士尼,3
1132,1131,11号线,往花桥,3
1132,1133,11号线,往迪士尼,3
1133,1132,11号线,往花桥,3
1133,1134,11号线,往迪士尼,3
1134,1133,11号线,往花桥,3
1134,1135,11号线,往迪士尼,4
1135,1134,11号线,往花桥,4
1135,1136,11号线,往迪士尼,6
1136,1135,11号线,往花桥,6
1136,1137,11号线,往迪士尼,4
1137,1136,11号线,往花桥,5
1137,1138,11号线,往迪士尼,3
1138,1137,11号线,往花桥,9
1138,1139,11号线,往迪士尼,3
1139,1138,11号线,往花桥,6
1139,1140,11号线,往迪士尼,3
1140,1139,11号线,往花桥,5
1140,1141,11号线,往迪士尼,3
1141,1140,11号线,往花桥,3
1141,1142,11号线,往迪士尼,3
1142,1141,11号线,往花桥,3
1142,1143,11号线,往迪士尼,3
1143,1142,11号线,往花桥,3
1143,1144,11号线,往迪士尼,2
1144,1143,11号线,往花桥,3
1144,1145,11号线,往迪士尼,3
1145,1144,11号线,往花桥,3
1145,1146,11号线,往迪士尼,3
1146,1145,11号线,往花桥,3
1146,1147,11号线,往迪士尼,4
1147,1146,11号线,往花桥,2
1147,1148,11号线,往迪士尼,3
1148,1147,11号线,往花桥,3
1148,1149,11号线,往迪士尼,4
1149,1148,11号线,往花桥,3
1149,1150,11号线,往迪士尼,3
1150,1149,11号线,往花桥,4
1150,1151,11号线,往迪士尼,3
1151,1150,11号线,往花桥,3
1151,1152,11号线,往迪士尼,2
1152,1151,11号线,往花桥,4
1152,1153,11号线,往迪士尼,4
1153,1152,11号线,往花桥,3
1153,1154,11号线,往迪士尼,5
1154,1153,11号线,往花桥,3
1154,1155,11号线,往迪士尼,3
1155,1154,11号线,往花桥,3
1155,1156,11号线,往迪士尼,3
1156,1155,11号线,往花桥,4
1156,1157,11号线,往迪士尼,3
1157,1156,11号线,往花桥,5
1157,1158,11号线,往迪士尼,3
1158,1157,11号线,往花桥,3
1158,1159,11号线,往迪士尼,3
1159,1158,11号线,往花桥,3
1159,1160,11号线,往迪士尼,5
1160,1159,11号线,往花桥,3
1160,1161,11号线,往迪士尼,7
1161,1160,11号线,往花桥,3
1161,1162,11号线,往迪士尼,3
1162,1161,11号线,往花桥,4
1162,1163,11号线,往迪士尼,3
1163,1162,11号线,往花桥,3
1220,1221,12号线,往金海路,3
1221,1220,12号线,往七莘路,3
1221,1222,12号线,往金海路,4
1222,1221,12号线,往七莘路,2
1222,1223,12号线,往金海路,2
1223,1222,12号线,往七莘路,3
1223,1224,12号线,往金海路,4
1224,1223,12号线,往七莘路,2
1224,1225,12号线,往金海路,3
1225,1224,12号线,往七莘路,3
1225,1226,12号线,往金海路,2
1226,1225,12号线,往七莘路,2
1226,1227,12号线,往金海路,3
1227,1226,12号线,往七莘路,2
1227,1228,12号线,往金海路,4
1228,1227,12号线,往七莘路,2
1228,1229,12号线,往金海路,3
1229,1228,12号线,往七莘路,3
1229,1230,12号线,往金海路,4
1230,1229,12号线,往七莘路,3
1230,1231,12号线,往金海路,2
1231,1230,12号线,往七莘路,2
1231,1232,12号线,往金海路,4
1232,1231,12号线,往七莘路,3
1232,1233,12号线,往金海路,3
1233,1232,12号线,往七莘路,2
1233,1234,12号线,往金海路,3
1234,1233,12号线,往七莘路,3
1234,1235,12号线,往金海路,4
1235,1234,12号线,往七莘路,3
1235,1236,12号线,往金海路,3
1236,1235,12号线,往七莘路,3
1236,1237,12号线,往金海路,3
1237,1236,12号线,往七莘路,2
1237,1238,12号线,往金海路,5
1238,1237,12号线,往七莘路,5
1238,1239,12号线,往金海路,3
1239,1238,12号线,往七莘路,3
1239,1240,12号线,往金海路,3
1240,1239,12号线,往七莘路,3
1240,1241,12号线,往金海路,3
1241,1240,12号线,往七莘路,2
1241,1242,12号线,往金海路,3
1242,1241,12号线,往七莘路,2
1242,1243,12号线,往金海路,4
1243,1242,12号线,往七莘路,4
1243,1244,12号线,往金海路,2
1244,1243,12号线,往七莘路,2
1244,1245,12号线,往金海路,3
1245,1244,12号线,往七莘路,4
1245,1246,12号线,往金海路,3
1246,1245,12号线,往七莘路,2
1246,1247,12号线,往金海路,3
1247,1246,12号线,往七莘路,2
1247,1248,12号线,往金海路,3
1248,1247,12号线,往七莘路,4
1248,1249,12号线,往金海路,2
1249,1248,12号线,往七莘路,2
1249,1250,12号线,往金海路,3
1250,1249,12号线,往七莘路,3
1250,1251,12号线,往金海路,3
1251,1250,12号线,往七莘路,4
1321,1322,13号线,往张江路,3
1322,1321,13号线,往金运路,3
1322,1323,13号线,往张江路,5
1323,1322,13号线,往金运路,3
1323,1324,13号线,往张江路,3
1324,1323,13号线,往金运路,3
1324,1325,13号线,往张江路,2
1325,1324,13号线,往金运路,2
1325,1326,13号线,往张江路,3
1326,1325,13号线,往金运路,3
1326,1327,13号线,往张江路,4
1327,1326,13号线,往金运路,3
1327,1328,13号线,往张江路,2
1328,1327,13号线,往金运路,3
1328,1329,13号线,往张江路,3
1329,1328,13号线,往金运路,3
1329,1330,13号线,往张江路,2
1330,1329,13号线,往金运路,2
1330,1331,13号线,往张江路,2
1331,1330,13号线,往金运路,3
1331,1332,13号线,往张江路,3
1332,1331,13号线,往金运路,3
1332,1333,13号线,往张江路,1
1333,1332,13号线,往金运路,2
1333,1334,13号线,往张江路,3
1334,1333,13号线,往金运路,2
1334,1335,13号线,往张江路,2
1335,1334,13号线,往金运路,2
1335,1336,13号线,往张江路,3
1336,1335,13号线,往金运路,3
1336,1337,13号线,往张江路,2
1337,1336,13号线,往金运路,2
1337,1338,13号线,往张江路,2
1338,1337,13号线,往金运路,3
1338,1339,13号线,往张江路,3
1339,1338,13号线,往金运路,4
1339,1340,13号线,往张江路,3
1340,1339,13号线,往金运路,3
1340,1341,13号线,往张江路,3
1341,1340,13号线,往金运路,3
1341,1342,13号线,往张江路,3
1342,1341,13号线,往金运路,3
1342,1343,13号线,往张江路,3
1343,1342,13号线,往金运路,3
1343,1344,13号线,往张江路,3
1344,1343,13号线,往金运路,3
1344,1345,13号线,往张江路,3
1345,1344,13号线,往金运路,3
1345,1346,13号线,往张江路,3
1346,1345,13号线,往金运路,3
1346,1347,13号线,往张江路,3
1347,1346,13号线,往金运路,3
1347,1348,13号线,往张江路,3
1348,1347,13号线,往金运路,3
1348,1349,13号线,往张江路,3
1349,1348,13号线,往金运路,3
1349,1350,13号线,往张江路,3
1350,1349,13号线,往金运路,3
1350,1351,13号线,往张江路,3
1351,1350,13号线,往金运路,3
1421,1422,14号线,往桂桥路,3
1422,1421,14号线,往封浜,3
1422,1423,14号线,往桂桥路,3
1423,1422,14号线,往封浜,3
1423,1424,14号线,往桂桥路,3
1424,1423,14号线,往封浜,3
1424,1425,14号线,往桂桥路,3
1425,1424,14号线,往封浜,3
1425,1426,14号线,往桂桥路,3
1426,1425,14号线,往封浜,3
1426,1427,14号线,往桂桥路,3
1427,1426,14号线,往封浜,3
1427,1428,14号线,往桂桥路,3
1428,1427,14号线,往封浜,3
1428,1429,14号线,往桂桥路,3
1429,1428,14号线,往封浜,3
1429,1430,14号线,往桂桥路,3
1430,1429,14号线,往封浜,3
1430,1431,14号线,往桂桥路,3
1431,1430,14号线,往封浜,3
1431,1432,14号线,往桂桥路,3
1432,1431,14号线,往封浜,3
1432,1433,14号线,往桂桥路,3
1433,1432,14号线,往封浜,3
1433,1434,14号线,往桂桥路,3
1434,1433,14号线,往封浜,3
1434,1435,14号线,往桂桥路,3
1435,1434,14号线,往封浜,3
1435,1436,14号线,往桂桥路,3
1436,1435,14号线,往封浜,3
1436,1437,14号线,往桂桥路,3
1437,1436,14号线,往封浜,3
1437,1438,14号线,往桂桥路,3
1438,1437,14号线,往封浜,3
1438,1439,14号线,往桂桥路,3
1439,1438,14号线,往封浜,3
1439,1440,14号线,往桂桥路,3
1440,1439,14号线,往封浜,3
1440,1441,14号线,往桂桥路,3
1441,1440,14号线,往封浜,3
1441,1442,14号线,往桂桥路,3
1442,1441,14号线,往封浜,3
1442,1443,14号线,往桂桥路,3
1443,1442,14号线,往封浜,3
1443,1445,14号线,往桂桥路,3
1445,1443,14号线,往封浜,3
1445,1446,14号线,往桂桥路,3
1446,1445,14号线,往封浜,3
1446,1447,14号线,往桂桥路,3
1447,1446,14号线,往封浜,3
1447,1448,14号线,往桂桥路,3
